fecha,id_producto,cantidad,precio
2025-01-02,81,1,64
2025-01-02,1816,4,3
2025-01-02,552,1,5
2025-01-02,1805,2,20
2025-01-02,1420,1,45
2025-01-02,1235,1,135
2025-01-02,1272,2,150
2025-01-02,1798,1,28
2025-01-02,1799,1,25
2025-01-02,1809,2,37
2025-01-02,1309,1,70
2025-01-02,1799,1,25
2025-01-02,1309,1,70
2025-01-02,807,1,86
2025-01-02,552,1,5
2025-01-02,1165,1,5
2025-01-02,1726,1,62
2025-01-02,587,1,76
2025-01-02,1826,1,75
2025-01-02,3186,1,105
2025-01-02,1800,1,43
2025-01-02,552,2,5
2025-01-02,1165,1,5
2025-01-02,965,1,129
2025-01-02,151,1,96
2025-01-02,217,1,140
2025-01-02,588,1,120
2025-01-02,1364,1,125
2025-01-02,1649,3,10
2025-01-02,1565,1,95
2025-01-02,1712,1,92
2025-01-02,955,1,399
2025-01-02,1327,1,365
2025-01-02,244,1,138
2025-01-02,1802,1,40
2025-01-02,448,1,61
2025-01-02,1649,2,10
2025-01-02,225,1,70
2025-01-02,1590,1,68
2025-01-02,217,1,140
2025-01-02,951,1,65
2025-01-02,133,1,98
2025-01-02,1272,6,150
2025-01-02,1637,1,42
2025-01-02,1810,2,12
2025-01-02,1272,4,150
2025-01-02,1799,1,25
2025-01-02,1798,2,28
2025-01-02,1800,1,43
2025-01-02,1235,1,36
2025-01-02,834,1,148
2025-01-02,295,1,134
2025-01-02,1244,1,84
2025-01-02,1184,1,7
2025-01-02,1255,1,69
2025-01-02,217,2,140
2025-01-02,238,1,102
2025-01-02,434,1,189
2025-01-02,970,1,86
2025-01-02,170,1,123
2025-01-02,1705,1,80
2025-01-02,198,1,65
2025-01-02,995,1,115
2025-01-02,1480,1,65
2025-01-02,1800,1,43
2025-01-02,718,1,35
2025-01-02,1412,1,58
2025-01-02,1312,2,214
2025-01-02,383,1,200
2025-01-02,217,1,140
2025-01-02,1312,1,214
2025-01-02,51,1,89
2025-01-02,1216,1,50
2025-01-02,1015,1,80
2025-01-02,51,1,89
2025-01-02,1090,1,49
2025-01-02,719,1,12
2025-01-02,1747,1,105
2025-01-02,1810,2,12
2025-01-02,719,2,12
2025-01-02,650,1,86
2025-01-02,552,1,5
2025-01-02,793,5,1
2025-01-02,1798,1,28
2025-01-02,368,1,50
2025-01-02,664,1,77
2025-01-02,872,1,17
2025-01-02,1507,1,104
2025-01-02,1810,1,12
2025-01-02,1225,5,20
2025-01-02,1799,1,25
2025-01-02,1574,1,95
2025-01-02,719,1,12
2025-01-02,1255,1,69
2025-01-02,225,1,70
2025-01-02,80,1,45
2025-01-02,1255,1,69
2025-01-02,1798,1,28
2025-01-02,1310,1,100
2025-01-02,296,1,33
2025-01-02,1801,1,43
2025-01-02,1235,1,36
2025-01-02,1802,1,40
2025-01-02,1184,2,7
2025-01-02,1255,1,69
2025-01-02,1552,1,99
2025-01-02,562,1,110
2025-01-02,1080,1,105
